PageURL,Name,Description,Brand,MPN,GTIN13,SKU,ImageURLs,OfferURL,Price,Currency,Availability,PriceValidUntil
https://www.drainagecentral.co.uk/4-Inch-(100mm)-Round-Cast-Iron-Downpipe-Bracket-with-Gasket-1,4 Inch (100mm) Round Cast Iron Downpipe Bracket with Gasket ,"100mm (4 Inch) Cast Iron Downpipe Bracket with Gasket

Britannia Circular Cast Iron Rainwater Downpipe Clips are available in a Transit Primer or Painted Finish

Please note  - All Cast Iron gutters and fittings are specially ordered and are non-returnable.

Manufacturer: ARP
Product Code: BI/P40/PB/GB

Return to product list",Britania25,BI/P40/PB/GB25,,BI/P40/PB/GB,https://www.drainagecentral.co.uk/Graphics/Std_Product_Images/Round_Cast_Iron_Downpipe_Clip_Holderbat_Painted_Drainage_Central11.jpg,https://www.drainagecentral.co.uk/4-Inch-(100mm)-Round-Cast-Iron-Downpipe-Bracket-with-Gasket-1,17.04,GBP,https://schema.org/InStock,2026-03-24
https://www.drainagecentral.co.uk/-2-5-Inch-(65mm)-Round-Cast-Iron-Downpipe-Bracket-with-Gasket--1, 2.5 Inch (65mm) Round Cast Iron Downpipe Bracket with Gasket ,"65mm (2,5 Inch) Cast Iron Downpipe Bracket with Gasket

Britannia Circular Cast Iron Rainwater Downpipe Clips are available in a Transit Primer or Painted Finish

Please note  - All Cast Iron gutters and fittings are specially ordered and are non-returnable.

Manufacturer: ARP
Product Code: BI/P25/PB/GB

Return to product list",Britania25,BI/P25/PB/GB25,,BI/P25/PB/GB,https://www.drainagecentral.co.uk/Graphics/Std_Product_Images/Round_Cast_Iron_Downpipe_Clip_Holderbat_Painted_Drainage_Central11.jpg,https://www.drainagecentral.co.uk/-2-5-Inch-(65mm)-Round-Cast-Iron-Downpipe-Bracket-with-Gasket--1,16.66,GBP,https://schema.org/InStock,2026-03-24
https://www.drainagecentral.co.uk/Flexseal-250mm-265mm-Drainage-Coupling-DC265-1,Fernco Flexseal 250mm-265mm Drainage Coupling DC265,"Fernco, previously known as Flexseal 250mm-265mm Drainage Coupling DC265


	Designed for drain construction where resistance to earth loadings normally provided by Standard Couplings is not required
	Low cost solution to damaged drainage systems
	Easy to install
	Efficient, airtight and watertight connection
	Fernco Drainage Coupling Data Sheet


Manufacturer: Fernco
Product Code: DC265

Return to product list",Flex Seal,DC265,DC265,DC265,https://www.drainagecentral.co.uk/Graphics/Std_Product_Images/Flexseal_Drainage_Coupling_DC250_Drainage_Central11.jpg,https://www.drainagecentral.co.uk/Flexseal-250mm-265mm-Drainage-Coupling-DC265-1,42.11,GBP,https://schema.org/InStock,2026-03-24
https://www.drainagecentral.co.uk/Flexseal-85mm-100mm-Drainage-Coupling-DC100-1,Fernco Flexseal 85mm-100mm Drainage Coupling DC100,"Fernco, previously known as Flexseal 85mm-100mm Drainage Coupling DC100


	Designed for drain construction where resistance to earth loadings normally provided by Standard Couplings is not required
	Low cost solution to damaged drainage systems
	Easy to install
	Efficient, airtight and watertight connection
	Fernco Drainage Coupling Data Sheet


Manufacturer: Fernco
Product Code: DC100

Return to product list",Flex Seal,DC100,DC100,DC100,https://www.drainagecentral.co.uk/Graphics/Std_Product_Images/Flexseal_Drainage_Coupling_DC95_Drainage_Central11.jpg,https://www.drainagecentral.co.uk/Flexseal-85mm-100mm-Drainage-Coupling-DC100-1,15.87,GBP,https://schema.org/InStock,2026-03-24
https://www.drainagecentral.co.uk/3-Inch-(75mm)-Round-Cast-Iron-Downpipe-Bracket-with-Gasket-1, 3 Inch (75mm) Round Cast Iron Downpipe Bracket with Gasket ,"75mm (3 Inch) Cast Iron Downpipe Bracket with Gasket

Britannia Circular Cast Iron Rainwater Downpipe Clips are available in a Transit Primer or Painted Finish

Please note  - All Cast Iron gutters and fittings are specially ordered and are non-returnable.

Manufacturer: ARP
Product Code: BI/P30/PB/GB

Return to product list",Britania,BI/P30/PB/GB,,BI/P30/PB/GB,https://www.drainagecentral.co.uk/Graphics/Std_Product_Images/Round_Cast_Iron_Downpipe_Clip_Holderbat_Painted_Drainage_Central11.jpg,https://www.drainagecentral.co.uk/3-Inch-(75mm)-Round-Cast-Iron-Downpipe-Bracket-with-Gasket-1,16.66,GBP,https://schema.org/InStock,2026-03-24
https://www.drainagecentral.co.uk/ExtraFix-Metal-Staple-150-x-100mm---100-Pack,ExtraFix Metal Staple 150 x 100mm - 100 Pack,"ExtraFix Metal Staple 150 x 100mm - 100 Pack
&amp;nbsp;

A 150mm long by 100mm wide metal staple for a heavier duty fixing. These metal staples can easily be hammered into most soil substrates. Available in packs of 100. 


Manufacturer: Growtivation

Product Code: GMS1

Return to product list
&amp;nbsp;",ExtraFix,GMS1,GMS1,GMS1,https://www.drainagecentral.co.ukhttps://rapidsitecdn.com/DrainageCentral/growtivation/extrafix/growtation-extrafix-gms1-1ds.jpg,https://www.drainagecentral.co.uk/ExtraFix-Metal-Staple-150-x-100mm---100-Pack,45.64,GBP,https://schema.org/InStock,2026-03-24
https://www.drainagecentral.co.uk/ExtraFix-Plastic-Peg-160mm,ExtraFix Plastic Peg 160mm,"ExtraFix Plastic Peg 160mm
&amp;nbsp;

These Plastic Pegs for Geotextile Fabric Available in packs of 10, 100 and 1000, are a simple and convenient way to secure all types of weed control and geotextile fabrics.

These plastic fixing pegs are 160mm long with barbed edges and a square head, providing a large contact area, greater grip and improved anchorage.

Manufacturer: Growtivation

Product Code: GPP0-(10 Pack) , GPP1-(100 Pack), GPP10-(1000 Pack).

Return to product list",ExtraFix,GPP0,GPP0,GPP0,https://www.drainagecentral.co.ukhttps://rapidsitecdn.com/DrainageCentral/growtivation/extrafix/growtation-extrafix-gppo-2ds.jpg,https://www.drainagecentral.co.uk/ExtraFix-Plastic-Peg-160mm,3.37,GBP,https://schema.org/InStock,2026-03-24
https://www.drainagecentral.co.uk/EarthWorx-NW1000-Non-Woven-Geotextile---45m-x-100m,EarthWorx NW1000 Non-Woven Geotextile - 4.5m x 100m,"EarthWorx NW1000 Non-Woven Geotextile - 4.5m x 100m
&amp;nbsp;

An extra heavy duty, non-woven geotextile with superior durability and mechanical resistance, providing ultimate performance in separation, filtration, drainage and reinforcement making it widely used for roads, highways, car parks, railway construction, foundations and retaining structures.

EarthWorx NW1000 is manufactured from 100% polypropylene fibres to a high specification, which makes it suitable for demanding civil engineering projects particularly those with areas subject to a large volume of vehicular traffic and large imposed loads. This prevents the sub-grade (soil) and sub-base (MOT Type 1 or similar) from mixing, which leads to contamination of the stone sub-base resulting in sinking and rutting of the surface.

Appliations


	Roads
	Car Parks
	Railway Construction
	Foundations
	Retaining Structures
	Horse Arenas
	Highways


Manufacturer: Growtivation

Product Code: EGF450

Return to product list
&amp;nbsp;",Earthworx,EGF450,EGF450,EGF450,https://www.drainagecentral.co.ukhttps://rapidsitecdn.com/DrainageCentral/growtivation/earthworx/growtivation-earthworx.jpg,https://www.drainagecentral.co.uk/EarthWorx-NW1000-Non-Woven-Geotextile---45m-x-100m,458.96,GBP,https://schema.org/InStock,2026-03-24
https://www.drainagecentral.co.uk/ExtraFix-Metal-Peg-200mm---100-Pack,ExtraFix Metal Peg 200mm - 100 Pack,"ExtraFix Metal Peg 200mm - 100 Pack
&amp;nbsp;

A 200mm long metal peg providing extra length for a deeper fixing. Ideal for securing weed control and geotextile fabrics to slopes. Available in packs of 100. 


Manufacturer: Growtivation

Product Code: GMP1

Return to product list
&amp;nbsp;",ExtraFix,GMP1,GMP1,GMP1,https://www.drainagecentral.co.ukhttps://rapidsitecdn.com/DrainageCentral/growtivation/extrafix/growtation-extrafix-gmp1-1ds.jpg,https://www.drainagecentral.co.uk/ExtraFix-Metal-Peg-200mm---100-Pack,33.59,GBP,https://schema.org/InStock,2026-03-24
https://www.drainagecentral.co.uk/DrainTex-Non-Woven-Geotextile-Fabric,DrainTex Non-Woven Geotextile Fabric,"DrainTex Geotextile Membrane

Draintex is a standard duty, non-woven drainage geotextile fabric with excellent drainage and filtration properties and is avaiable in 1m x 10m, 2m x 50m, 2m x 25m, 4.5m x 11.1m and 4.5m x 100m.

This drainage geo-textile fabric has a stable but open structure making it ideal for lining trenches when constructing land (French) drains.

Draintex acts as a filter membrane, separating the aggregate from the soil, thus preventing the aggregate from mixing with the soil and reducing the efficiency and capacity of the drain.

DrainTex is also used for wrapping soakaway and water attenuation crates in both small domestic and large commercial projects. The high permeability of the fabric means water can percolate through whilst preventing the soakaway becoming &amp;lsquo;silted&amp;rsquo; up.

DrainTex can be used as a ground stabilisation membrane beneath MOT Type 1 or 3 aggregate or hardcore to form a stable base in many hard landscaping and civil engineering applications.

Appliations


	French/Land Drains
	Wrapping Soakaway Crates
	Driveway Subase


Product Sizes


	
		
			Code
			Product
			Width
			Length
			Area
		
		
			DRA10
			Mini Roll
			Narrow width, ideal for paths
			1.0m
			10m
			10m2
		
		
			DRA25
			Midi Roll
			For medium size projects
			2.0m
			25m
			50m2
		
		
			DRA225
			2.0m
			50m
			100m2
		
		
			DRA45
			Contractor Pack
			Wide width, ideal for patios or driveways
			4.5m
			11.1m
			50m2
		
		
			DRA450
			Contractor Roll
			4.5m
			100m
			450m2
		
	


Manufacturer: Growtivation

Product Code: DRA10-(1m x 10m), DRA225-(2m X 50m), DRA25-(2m x 25m),DRA45-(4.5m x 11.1m), DRA450-(4.5m x 100m)

Return to product list
&amp;nbsp;",Draintex,DRA,DRA,DRA,https://www.drainagecentral.co.ukhttps://rapidsitecdn.com/DrainageCentral/growtivation/draintex/drainage-central-draintex-dra10.jpg,https://www.drainagecentral.co.uk/DrainTex-Non-Woven-Geotextile-Fabric,15.46,GBP,https://schema.org/InStock,2026-03-24
